Date,Daily maximum UTCI,Daily minimum UTCI,Daily maximum T2M,Daily minimum T2M
2000-11-23,34.5613,15.3499,30.2011,18.9650
2000-11-24,31.8803,14.4645,29.2544,17.7950
2000-11-25,33.0830,12.3978,28.7917,17.2052
2000-11-26,31.5721,11.2997,29.0000,16.6856
2000-11-27,31.3717,11.4127,27.7956,16.6357
2000-11-28,31.2541,12.9985,25.2942,16.5881
2000-11-29,32.9550,14.8776,27.3316,17.6497
2000-11-30,33.4518,13.3539,28.6894,17.3106
2000-12-01,32.3213,9.4232,27.6376,16.7574
2000-12-02,28.1650,6.1147,26.0570,13.5322
2000-12-03,25.5471,5.4139,24.7379,13.0207
2000-12-04,28.0430,5.2090,25.3345,12.7934
2000-12-05,28.6508,6.0889,25.8036,12.0831
2000-12-06,29.2150,5.1631,26.4021,11.7548
2000-12-07,28.9686,7.2521,26.2414,12.5151
2000-12-08,29.1800,7.9392,26.4544,12.8988
2000-12-09,29.1057,6.1986,27.1892,13.2513
2000-12-10,31.3966,6.2154,27.8857,13.1250
2000-12-11,31.6296,10.0706,27.8432,13.8879
2000-12-12,31.4576,8.3256,27.5594,13.6574
2000-12-13,28.1112,7.0060,25.3606,12.8021
2000-12-14,28.7484,6.7041,25.3144,12.3988
2000-12-15,29.6914,7.5035,25.8230,13.0917
2000-12-16,30.4109,8.3295,26.1841,13.3501
2000-12-17,29.7151,8.9301,26.7655,13.3564
2000-12-18,30.5472,9.0629,26.7105,13.3679
2000-12-19,30.6629,8.4836,27.6284,13.1200
2000-12-20,29.1912,7.0970,27.3242,13.8521
2000-12-21,29.7109,6.9355,25.3178,13.5399
2000-12-22,30.1316,7.1694,26.0300,13.3739
2000-12-23,31.0279,8.9265,25.9261,14.1958
2000-12-24,30.8308,10.5371,25.7786,14.4618
2000-12-25,29.1624,10.6608,25.8434,15.9199
2000-12-26,29.7414,12.2359,25.9128,15.7162
2000-12-27,29.3772,10.3931,26.2201,14.8085
2000-12-28,31.2802,8.3491,26.5331,14.0107
2000-12-29,30.3091,9.0853,26.3358,13.1781
2000-12-30,29.7882,6.7405,26.3372,12.4672
2000-12-31,30.3435,6.0938,26.2749,12.3055
2001-01-01,31.4564,8.5914,27.1109,13.3752
2001-01-02,30.3528,12.6343,25.3730,16.3297
2001-01-03,28.9530,8.1021,25.2674,13.6626
2001-01-04,26.5314,6.7560,23.5784,11.2456
2001-01-05,24.9094,3.7826,21.8449,9.7090
2001-01-06,24.5482,3.7994,21.4282,9.2801
